TICKET_GROUP_NAME,Mediana_FRT_min,Mediana_Resolucion_min,Tickets,Mediana_FRT_hrs,Mediana_Resolucion_hrs,Mediana_Resolucion_dias
BO AMC - Especialistas PT,795.5,21446.5,226,13.26,357.44,14.89
LUA AMC IN,672.0,1784.0,184201,11.2,29.73,1.24
Célula PI AMC ES,176.0,1383.0,28214,2.93,23.05,0.96
BO AMC - Especialistas,160.0,4348.0,26181,2.67,72.47,3.02
Servicing AMC,110.0,247.0,117376,1.83,4.12,0.17
Equipajes AMC SSC,77.0,7033.0,631388,1.28,117.22,4.88
HVC AMC BR,66.0,0.0,812621,1.1,0.0,0.0
DT AMC IN,48.0,2306.0,164655,0.8,38.43,1.6
HVC AMC SSC,47.0,680.0,227770,0.78,11.33,0.47
Autorización Supervisor HVC AMC ES,45.0,2.0,34209,0.75,0.03,0.0
DT FFP AMC,10.0,4519.0,734255,0.17,75.32,3.14
BO AMC ESPECIALISTAS ,6.0,15855.0,1,0.1,264.25,11.01
WhatsApp SSC -AMC,3.0,69.0,1685320,0.05,1.15,0.05
LUA AMC,2.0,55.0,4463158,0.03,0.92,0.04
Autorización Supervisor AMC,0.0,3.0,314595,0.0,0.05,0.0
Autorización SOP LUA AMC,0.0,9.0,169,0.0,0.15,0.01
